Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,346387287.2633441,2493920860.5562387,248.29381289286496,0.14058897460562658,0.26146413715536077,0.3334846268395639,0.005424353254339743,0.6491053725476106,0.0,0.014976850814906477,0.0,0.0,0.010038819903265266,0.0000022301031283997406,0.000010153843983474175,149.27754121494675,0.0,0.0,69.78770171905249 
July,1419610903.8855667,32911624.916418906,486.79574151584364,0.16967902703499332,1.0607681537057065,0.8848386242561459,0.011431522658804726,2.6575204323892607,0.0,0.024805186352019944,0.0,0.0,0.014551734451625779,0.000008008839077376438,0.000039443801086048227,611.7892688505469,0.0,0.0,140.3259139251021 
