Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORE_ZN:People Occupant Count [](Hourly),PERIMETER_ZN_1:People Occupant Count [](Hourly),PERIMETER_ZN_2:People Occupant Count [](Hourly),PERIMETER_ZN_3:People Occupant Count [](Hourly),PERIMETER_ZN_4:People Occupant Count [](Hourly),CLGSETP_SCH:Schedule Value [](TimeStep),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/21  14:50:00,,,,,,,30.0 
 01/21  15:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  15:10:00,,,,,,,30.0 
 01/21  15:20:00,,,,,,,30.0 
 01/21  15:30:00,,,,,,,30.0 
 01/21  15:40:00,,,,,,,30.0 
 01/21  15:50:00,,,,,,,30.0 
 01/21  16:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  16:10:00,,,,,,,30.0 
 01/21  16:20:00,,,,,,,30.0 
 01/21  16:30:00,,,,,,,30.0 
 01/21  16:40:00,,,,,,,30.0 
 01/21  16:50:00,,,,,,,30.0 
 01/21  17:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  17:10:00,,,,,,,30.0 
 01/21  17:20:00,,,,,,,30.0 
 01/21  17:30:00,,,,,,,30.0 
 01/21  17:40:00,,,,,,,30.0 
 01/21  17:50:00,,,,,,,30.0 
 01/21  18:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  18:10:00,,,,,,,30.0 
 01/21  18:20:00,,,,,,,30.0 
 01/21  18:30:00,,,,,,,30.0 
 01/21  18:40:00,,,,,,,30.0 
 01/21  18:50:00,,,,,,,30.0 
 01/21  19:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  19:10:00,,,,,,,30.0 
 01/21  19:20:00,,,,,,,30.0 
 01/21  19:30:00,,,,,,,30.0 
 01/21  19:40:00,,,,,,,30.0 
 01/21  19:50:00,,,,,,,30.0 
 01/21  20:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  20:10:00,,,,,,,30.0 
 01/21  20:20:00,,,,,,,30.0 
 01/21  20:30:00,,,,,,,30.0 
 01/21  20:40:00,,,,,,,30.0 
 01/21  20:50:00,,,,,,,30.0 
 01/21  21:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  21:10:00,,,,,,,30.0 
 01/21  21:20:00,,,,,,,30.0 
 01/21  21:30:00,,,,,,,30.0 
 01/21  21:40:00,,,,,,,30.0 
 01/21  21:50:00,,,,,,,30.0 
 01/21  22:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  22:10:00,,,,,,,30.0 
 01/21  22:20:00,,,,,,,30.0 
 01/21  22:30:00,,,,,,,30.0 
 01/21  22:40:00,,,,,,,30.0 
 01/21  22:50:00,,,,,,,30.0 
 01/21  23:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0 
 01/21  23:10:00,,,,,,,30.0 
 01/21  23:20:00,,,,,,,30.0 
 01/21  23:30:00,,,,,,,30.0 
 01/21  23:40:00,,,,,,,30.0 
 01/21  23:50:00,,,,,,,30.0 
 01/21  24:00:00,-20.599999999999998,0.0,0.0,0.0,0.0,0.0,30.0,346387287.2633441,2493920860.5562387,248.29381289286496,0.14058897460562658,0.26146413715536077,0.3334846268395639,0.005424353254339743,0.6491053725476106,0.0,0.014976850814906477,0.0,0.0,0.010038819903265266,0.0000022301031283997406,0.000010153843983474175,149.27754121494675,0.0,0.0,69.78770171905249 
 07/21  00:10:00,,,,,,,30.0 
 07/21  00:20:00,,,,,,,30.0 
 07/21  00:30:00,,,,,,,30.0 
 07/21  00:40:00,,,,,,,30.0 
 07/21  00:50:00,,,,,,,30.0 
 07/21  01:00:00,24.051500000000004,0.0,0.0,0.0,0.0,0.0,30.0 
 07/21  01:10:00,,,,,,,30.0 
 07/21  01:20:00,,,,,,,30.0 
 07/21  01:30:00,,,,,,,30.0 
 07/21  01:40:00,,,,,,,30.0 
 07/21  01:50:00,,,,,,,30.0 
 07/21  02:00:00,23.534333333333336,0.0,0.0,0.0,0.0,0.0,30.0 
 07/21  02:10:00,,,,,,,30.0 
 07/21  02:20:00,,,,,,,30.0 
 07/21  02:30:00,,,,,,,30.0 
 07/21  02:40:00,,,,,,,30.0 
 07/21  02:50:00,,,,,,,30.0 
 07/21  03:00:00,23.168750000000003,0.0,0.0,0.0,0.0,0.0,30.0 
 07/21  03:10:00,,,,,,,30.0 
 07/21  03:20:00,,,,,,,30.0 
 07/21  03:30:00,,,,,,,30.0 
 07/21  03:40:00,,,,,,,30.0 
 07/21  03:50:00,,,,,,,30.0 
