Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,346387287.2633441,2493920860.5526824,248.29381289267968,0.14058897460548467,0.26146413715535693,0.33348462683939567,0.005424353254335972,0.6491053725476096,0.0,0.014976850814893713,0.0,0.0,0.010038819903255987,0.0000022301031283993455,0.00001015384398347342,149.27754121494675,0.0,0.0,69.78770171900163 
July,1419610903.7552505,32911624.89941926,486.7957414704291,0.16967902701885954,1.0607681536083162,0.884838624174259,0.011431522657740528,2.657520432145304,0.0,0.024805186349692726,0.0,0.0,0.014551734450253487,0.000008008839076639697,0.00003944380108242444,611.7892687943864,0.0,0.0,140.3259139120207 
